Id,Label,timeset,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,modularity_class,indegree,outdegree,degree
192,lil' kim,,got,wanna,drown,bitch,really,ain't,niggas,booty,shit,bad,heard,pussy,shut,yeah,fuck,28,163,119,282
193,ace hood,,,,,,,,,,,,,,,,,28,71,32,103
194,taio cruz,,,,,,,,,,,,,,,,,28,63,7,70
195,chamillionaire,,,,,,,,,,,,,,,,,28,102,22,124
196,action bronson,,,,,,,,,,,,,,,,,29,80,60,140
197,timbaland,,go,ahead,joy,now,daddy,drop,um,hmm,y'all,got,know,yo,bad,wit',yo',28,130,25,155
198,40 glocc,,,,,,,,,,,,,,,,,72,28,47,75
199,bishop lamont,,,,,,,,,,,,,,,,,29,38,77,115
200,tay dizm,,,,,,,,,,,,,,,,,28,3,60,63
201,olivia,,,,,,,,,,,,,,,,,28,29,42,71
202,missy elliott,,back,clappers,throw,uh,got,oh,watch,chick,yeah,bounce,stomp,pep,rally,go,foot,28,199,74,273
203,baby boy da prince,,,,,,,,,,,,,,,,,28,4,63,67
204,keyshia cole,,,,,,,,,,,,,,,,,28,85,26,111
205,soulja slim,,got,niggas,nigga,fuck,ain't,know,shit,soulja,ya,real,i'ma,streets,back,us,home,28,35,174,209
206,ludacris,,ho,party,take,hiphop,you's,i'mma,till,got,mo,shot,jingalin,hoes,go,jingal,yeah,28,228,65,293
207,akon,,na,want,time,oh,remember,ghetto,go,damn,wanna,nigga,baby,wakonda,said,know,gonna,28,241,16,257
208,juvenile,,,,,,,,,,,,,,,,,28,97,35,132
209,nelly,,uh,want,wanna,now,know,girl,na,say,ain't,baby,tonight,liv,leave,one,really,28,171,48,219
210,kevin rudolf,,,,,,,,,,,,,,,,,28,18,7,25
211,freeway,,got,money,wrong,still,back,love,yeah,know,ain't,'em,every,make,uh,shit,niggas,29,132,59,191
212,masspike miles,,,,,,,,,,,,,,,,,29,24,82,106
213,will.i.am,,,,,,,,,,,,,,,,,28,118,21,139
214,ray j,,,,,,,,,,,,,,,,,28,80,15,95
215,eve,,know,ain't,got,now,fuck,shit,niggas,'cause,bad,bounce,uh,gun,let,eve,never,28,147,15,162
216,cory gunz,,niggas,im,nigga,kant,got,see,bitch,em,money,laughin,rich,know,richer,dont,never,29,67,97,164
